"Geschlecht","Groesse","Alter","Gewicht","Studienrichtung","Abschluss","Job","Jobdauer","Vorbildung","Geburtsjahr","Plz","Ort","Bundesland"
"w",152,20,47,"Germanistik","Master","nein",0,"HBLA",2002,9524,"Villach-St. Magdalen","K"
"w",168,23,75,"Geographie","Master","nein",0,"AHS",1999,9413,"St. Gertraud","K"
"m",171,29,57,"International Business and Economics","Master","nein",0,"HBLA",1993,9026,"Klagenfurt am Wörthersee","K"
"m",164,22,70,"Slawistik","Master","ja",8,"AHS",2000,9220,"Velden am Wörther See","K"
"w",158,19,56,"Informationstechnik","Bachelor","nein",0,"HBLA",2003,9560,"Feldkirchen in Kärnten","K"
"w",159,23,60,"Geographie","Master","nein",0,"HAK",1999,9832,"Stall","K"
"w",158,19,55,"Medien- und Kommunikationswissenschaften","Master","nein",0,"Ausl",2003,9751,"Sachsenburg","K"
"w",166,20,60,"Robotics and Artificial Intelligence","Master","nein",0,"AHS",2002,9172,"Zell-Pfarre","K"
"w",174,20,71,"Angewandte Informatik","Master","ja",12,"AHS",2002,9063,"Maria Saal","K"
"w",170,24,74,"Germanistik","Master","ja",18,"AHS",1998,9433,"St. Andrä","K"
"w",172,18,73,"Angewandte Informatik","Master","ja",9,"Ausl",2004,9313,"St. Georgen am Längsee","K"
"w",159,18,58,"Psychologie","Master","ja",9,"AHS",2004,9155,"Neuhaus","K"
"w",169,21,74,"Anglistik und Amerikanistik","Master","nein",0,"AHS",2001,9509,"Zauchen","K"
"w",154,20,53,"Informationstechnik","Master","nein",0,"Ausl",2002,9620,"Hermagor","K"
"m",173,22,63,"Wirtschaftsinformatik","Bachelor","nein",0,"Ausl",2000,9065,"Ebenthal","K"
"w",179,19,76,"International Business and Economics","Master","ja",16,"Ausl",2003,9376,"Knappenberg","K"
"m",174,20,61,"Germanistik","Bachelor","ja",22,"Ausl",2002,9822,"Mallnitz","K"
"m",172,23,63,"Wirtschaftsinformatik","Master","ja",17,"Ausl",1999,9586,"Fürnitz","K"
"w",157,23,58,"Geschichte","Master","ja",12,"HBLA",1999,9082,"Maria Wörth","K"
"w",168,21,59,"Philosophie","Master","ja",19,"AHS",2001,9335,"Lölling","K"
"w",179,20,79,"Anglistik und Amerikanistik","Master","ja",12,"Ausl",2002,9754,"Steinfeld","K"
"w",165,20,68,"International Business and Economics","Master","nein",0,"HAK",2002,9372,"Eberstein","K"
"w",160,21,59,"Informationstechnik","Master","nein",0,"AHS",2001,9111,"Haimburg","K"
"w",179,25,92,"International Business and Economics","Master","ja",11,"Ausl",1997,9754,"Steinfeld","K"
"w",156,23,57,"Slawistik","Master","nein",0,"Sonst",1999,9582,"Latschach","K"
"w",171,23,61,"Informationstechnik","Bachelor","ja",29,"Ausl",1999,9821,"Obervellach","K"
"w",159,27,57,"International Business and Economics","PhD","nein",0,"HAK",1995,9161,"Maria Rain","K"
"m",166,22,71,"Robotics and Artificial Intelligence","Master","ja",18,"AHS",2000,9171,"Waidisch","K"
"w",172,21,75,"Angewandte Kulturwissenschaft","Master","ja",11,"Ausl",2001,9505,"Villach","K"
"w",148,21,46,"Geographie","Master","ja",21,"HAK",2001,9771,"Berg im Drautal","K"
"m",172,25,79,"Geographie","Master","nein",0,"Ausl",1997,9212,"Techelsberg am Wörther See","K"
"w",162,20,60,"Robotics and Artificial Intelligence","Master","nein",0,"HBLA",2002,9372,"Eberstein","K"
"w",158,28,56,"Angewandte Informatik","Master","ja",24,"Ausl",1994,9802,"Spittal an der Drau","K"
"w",149,24,48,"Medien- und Kommunikationswissenschaften","Bachelor","nein",0,"Ausl",1998,9781,"Oberdrauburg","K"
"m",169,24,63,"Informationstechnik","Master","ja",25,"Ausl",1998,9571,"Sirnitz","K"
"m",162,21,59,"Erziehungs- und Bildungswissenschaft","Bachelor","ja",16,"HTL",2001,9771,"Berg im Drautal","K"
"w",177,21,87,"Geographie","Master","ja",11,"HBLA",2001,9802,"Spittal an der Drau","K"
"w",147,23,45,"Robotics and Artificial Intelligence","Bachelor","ja",18,"HBLA",1999,9413,"St. Gertraud","K"
"w",145,21,42,"Wirtschaftsinformatik","Bachelor","nein",0,"HAK",2001,9372,"Eberstein","K"
"w",168,21,74,"Betriebswirtschaft","Master","nein",0,"Sonst",2001,9543,"Arriach","K"
"m",181,21,79,"Angewandte Informatik","Bachelor","ja",12,"Ausl",2001,9652,"Birnbaum","K"
"w",160,22,59,"Technische Mathematik","Master","ja",15,"AHS",2000,9635,"Dellach","K"
"m",172,23,59,"Anglistik und Amerikanistik","Master","ja",11,"Sonst",1999,9441,"Twimberg","K"
"w",168,20,73,"International Business and Economics","PhD","nein",0,"HAK",2002,9314,"Launsdorf","K"
"w",173,19,66,"Anglistik und Amerikanistik","PhD","ja",14,"Sonst",2003,9074,"Keutschach","K"
"w",149,20,51,"Angewandte Informatik","Master","nein",0,"HAK",2002,9231,"Köstenberg","K"
"w",172,20,88,"Geschichte","PhD","ja",9,"HAK",2002,9065,"Ebenthal","K"
"m",176,18,74,"Erziehungs- und Bildungswissenschaft","PhD","ja",16,"AHS",2004,9554,"St. Urban","K"
"m",171,23,88,"International Business and Economics","Master","ja",12,"HBLA",1999,9535,"Schiefling am Wörthersee","K"
"w",172,22,61,"Erziehungs- und Bildungswissenschaft","PhD","nein",0,"Ausl",2000,9171,"Waidisch","K"
"w",170,21,77,"Betriebswirtschaft","Master","nein",0,"HAK",2001,9652,"Birnbaum","K"
"w",172,19,61,"International Business and Economics","Master","ja",21,"HAK",2003,9061,"Klagenfurt-Wölfnitz","K"
"w",160,25,59,"Erziehungs- und Bildungswissenschaft","Master","nein",0,"HBLA",1997,9873,"Döbriach","K"
"m",180,20,89,"Betriebswirtschaft","Master","nein",0,"AHS",2002,9024,"Klagenfurt am Wörthersee","K"
"m",176,21,65,"Philosophie","Bachelor","nein",0,"Sonst",2001,9602,"Thörl-Maglern","K"
"m",170,19,77,"Geographie","PhD","ja",8,"HBLA",2003,9802,"Spittal an der Drau","K"
"w",176,21,65,"Angewandte Informatik","Bachelor","nein",0,"AHS",2001,9402,"Wolfsberg, Kärnten","K"
"w",163,22,50,"Psychologie","Master","nein",0,"AHS",2000,9321,"Kappel am Krappfeld","K"
"m",174,19,55,"Romanistik","Master","ja",11,"Ausl",2003,9241,"Wernberg","K"
"m",178,23,71,"Philosophie","Master","nein",0,"HBLA",1999,9833,"Rangersdorf","K"
"m",177,20,80,"Informationstechnik","Master","nein",0,"HAK",2002,9570,"Ossiach","K"
"m",168,23,70,"Germanistik","Master","ja",15,"Ausl",1999,9375,"Hüttenberg","K"
"m",174,19,82,"Germanistik","Bachelor","ja",15,"Sonst",2003,9376,"Knappenberg","K"
"w",183,21,91,"Philosophie","Master","ja",21,"AHS",2001,9074,"Keutschach","K"
"m",173,20,61,"Psychologie","Bachelor","ja",12,"AHS",2002,9313,"St. Georgen am Längsee","K"
"m",172,20,69,"Romanistik","Bachelor","ja",9,"HAK",2002,9843,"Großkirchheim","K"
"w",168,25,65,"Slawistik","Master","nein",0,"AHS",1997,9035,"Klagenfurt","K"
"w",165,22,76,"Angewandte Informatik","Bachelor","ja",23,"Ausl",2000,9614,"Vorderberg","K"
"m",170,21,57,"Slawistik","Master","nein",0,"Sonst",2001,9844,"Heiligenblut","K"
"w",153,21,58,"Betriebswirtschaft","Master","nein",0,"Ausl",2001,9413,"St. Gertraud","K"
"w",169,20,62,"Romanistik","Bachelor","ja",7,"HBLA",2002,9013,"Klagenfurt am Wörthersee","K"
"w",163,18,56,"Wirtschaftsinformatik","Master","nein",0,"Ausl",2004,9721,"Weißenstein","K"
"w",166,20,57,"Informationstechnik","Master","ja",20,"AHS",2002,9061,"Klagenfurt-Wölfnitz","K"
"m",172,25,64,"Anglistik und Amerikanistik","Master","ja",15,"Ausl",1997,9536,"St. Egyden","K"
"m",161,23,52,"Robotics and Artificial Intelligence","Bachelor","nein",0,"Ausl",1999,9754,"Steinfeld","K"
"m",175,23,82,"Wirtschaft und Recht","Master","ja",5,"HAK",1999,9843,"Großkirchheim","K"
"w",181,21,70,"Robotics and Artificial Intelligence","PhD","ja",10,"HBLA",2001,9363,"Metnitz","K"
"m",162,22,65,"Angewandte Informatik","Master","nein",0,"Sonst",2000,9500,"Villach","K"
"w",154,20,53,"Romanistik","Master","nein",0,"Ausl",2002,9170,"Ferlach","K"
"m",163,21,57,"Angewandte Kulturwissenschaft","PhD","ja",11,"Sonst",2001,9556,"Liebenfels","K"
"w",159,25,57,"Angewandte Kulturwissenschaft","Bachelor","ja",17,"AHS",1997,9500,"Villach","K"
"w",173,21,69,"Geographie","Master","nein",0,"Ausl",2001,9871,"Seeboden","K"
"w",161,21,59,"Philosophie","Bachelor","ja",12,"Ausl",2001,9531,"Kreuth","K"
"w",160,21,53,"Technische Mathematik","Master","ja",13,"Ausl",2001,9155,"Neuhaus","K"
"m",164,20,59,"Germanistik","Master","ja",18,"Sonst",2002,9400,"Wolfsberg","K"
"w",163,18,58,"Psychologie","Bachelor","nein",0,"Ausl",2004,9520,"Sattendorf","K"
"w",170,24,74,"Erziehungs- und Bildungswissenschaft","Master","ja",22,"HAK",1998,9520,"Sattendorf","K"
"m",192,21,92,"Wirtschaftsinformatik","Master","ja",18,"AHS",2001,9832,"Stall","K"
"w",173,20,111,"Wirtschaftsinformatik","PhD","nein",0,"HAK",2002,9508,"Villach","K"
"m",167,21,75,"Betriebswirtschaft","Master","nein",0,"Sonst",2001,9181,"Feistritz im Rosental","K"
"w",158,22,58,"Angewandte Informatik","Master","nein",0,"HBLA",2000,9805,"Baldramsdorf","K"
"m",179,20,71,"Geographie","Bachelor","ja",23,"HAK",2002,9505,"Villach","K"
"w",162,20,58,"Betriebswirtschaft","Master","ja",19,"Ausl",2002,9034,"Klagenfurt","K"
"m",176,20,83,"Wirtschaftsinformatik","Bachelor","ja",21,"Ausl",2002,9150,"Bleiburg","K"
"w",152,22,51,"Angewandte Informatik","Bachelor","ja",7,"HAK",2000,9712,"Fresach","K"
"w",159,23,57,"Geschichte","PhD","ja",24,"AHS",1999,9614,"Vorderberg","K"
"w",155,22,56,"Germanistik","PhD","ja",13,"HAK",2000,9033,"Klagenfurt","K"
"m",167,23,59,"Wirtschaftsinformatik","Master","ja",8,"AHS",1999,9132,"Gallizien","K"
"w",156,20,51,"Betriebswirtschaft","Bachelor","nein",0,"AHS",2002,9125,"Kühnsdorf","K"
"m",171,21,77,"Germanistik","Master","ja",26,"AHS",2001,9143,"St. Michael ob Bleiburg","K"
"m",174,22,67,"Geographie","Master","nein",0,"HBLA",2000,9082,"Maria Wörth","K"
"w",167,24,60,"Wirtschaftsinformatik","Master","ja",21,"Ausl",1998,9761,"Greifenburg","K"
"m",170,21,76,"Angewandte Informatik","Master","ja",9,"Ausl",2001,9135,"Bad Eisenkappel","K"
"m",167,19,76,"Angewandte Informatik","Bachelor","ja",15,"AHS",2003,9342,"Gurk","K"
"w",175,20,84,"Angewandte Kulturwissenschaft","Master","ja",16,"Sonst",2002,9620,"Hermagor","K"
"w",170,18,90,"Geschichte","PhD","ja",9,"Ausl",2004,9803,"Spittal an der Drau","K"
"m",180,21,60,"Philosophie","Master","nein",0,"Sonst",2001,9853,"Gmünd","K"
"m",188,19,78,"Germanistik","Bachelor","ja",21,"HAK",2003,9505,"Villach","K"
"w",154,24,52,"Geschichte","Master","nein",0,"Ausl",1998,9635,"Dellach","K"
"w",178,18,86,"Geographie","Master","ja",10,"AHS",2004,9570,"Ossiach","K"
"w",172,20,76,"Betriebswirtschaft","Master","nein",0,"HAK",2002,9615,"Görtschach","K"
"w",164,24,53,"Philosophie","Master","ja",14,"HBLA",1998,9504,"Villach-Warmbad Villach","K"
"m",179,20,66,"Psychologie","Bachelor","ja",21,"Sonst",2002,9371,"Brückl","K"
"w",162,18,72,"Geographie","Master","ja",7,"Ausl",2004,9832,"Stall","K"
"w",161,20,57,"Anglistik und Amerikanistik","Master","nein",0,"HAK",2002,9642,"Laas","K"
"w",149,18,45,"Angewandte Kulturwissenschaft","Master","ja",11,"HAK",2004,9781,"Oberdrauburg","K"
"m",180,24,69,"Wirtschaft und Recht","Bachelor","nein",0,"Ausl",1998,9565,"Ebene Reichenau","K"
"m",191,23,122,"Wirtschaftsinformatik","Master","nein",0,"AHS",1999,9803,"Spittal an der Drau","K"
"m",191,22,90,"Slawistik","Bachelor","ja",7,"AHS",2000,9611,"Nötsch","K"
"w",163,21,66,"Germanistik","Master","ja",11,"AHS",2001,9034,"Klagenfurt","K"
"w",161,21,57,"Slawistik","Master","ja",15,"HAK",2001,9155,"Neuhaus","K"
"m",175,25,68,"Wirtschaftsinformatik","Bachelor","ja",21,"AHS",1997,9141,"Eberndorf","K"
"m",183,19,81,"Angewandte Kulturwissenschaft","Master","nein",0,"AHS",2003,9130,"Poggersdorf","K"
"w",174,21,78,"Psychologie","Master","ja",23,"HAK",2001,9402,"Wolfsberg, Kärnten","K"
"m",177,20,84,"Slawistik","PhD","ja",18,"AHS",2002,9541,"Einöde","K"
"w",171,20,82,"Betriebswirtschaft","Master","ja",25,"HAK",2002,9713,"Zlan","K"
"w",162,19,60,"Medien- und Kommunikationswissenschaften","Bachelor","ja",9,"AHS",2003,9814,"Mühldorf","K"
"m",178,21,73,"Informationstechnik","PhD","ja",11,"Ausl",2001,9321,"Kappel am Krappfeld","K"
"w",171,23,74,"Wirtschaftsinformatik","Master","nein",0,"Ausl",1999,9543,"Arriach","K"
"w",191,20,91,"Erziehungs- und Bildungswissenschaft","Master","nein",0,"HAK",2002,9873,"Döbriach","K"
"w",162,26,58,"Germanistik","Master","nein",0,"Ausl",1996,9803,"Spittal an der Drau","K"
"m",169,20,86,"Germanistik","Bachelor","ja",16,"HBLA",2002,9541,"Einöde","K"
"w",166,22,55,"Geschichte","Master","ja",14,"HBLA",2000,9423,"St. Georgen","K"
"w",159,20,56,"Erziehungs- und Bildungswissenschaft","Master","nein",0,"HBLA",2002,9311,"Kraig","K"
"w",167,23,63,"Geschichte","Master","ja",30,"Ausl",1999,9181,"Feistritz im Rosental","K"
"m",177,21,79,"Wirtschaft und Recht","Bachelor","ja",20,"AHS",2001,9555,"Glanegg","K"
"w",173,20,66,"Angewandte Kulturwissenschaft","Bachelor","nein",0,"AHS",2002,9813,"Möllbrücke","K"
"m",166,20,68,"International Business and Economics","Master","nein",0,"Ausl",2002,9314,"Launsdorf","K"
"m",164,27,68,"Wirtschaftsinformatik","Bachelor","nein",0,"AHS",1995,9862,"Kremsbrücke","K"
"m",187,23,78,"Wirtschaft und Recht","Master","ja",25,"Ausl",1999,9714,"Stockenboi","K"
"m",176,21,75,"Germanistik","Master","nein",0,"AHS",2001,9024,"Klagenfurt am Wörthersee","K"
"w",155,18,54,"Romanistik","Bachelor","ja",8,"HBLA",2004,9361,"St. Salvator","K"
"m",165,19,74,"Erziehungs- und Bildungswissenschaft","Master","nein",0,"HTL",2003,9402,"Wolfsberg, Kärnten","K"
"w",158,28,56,"Technische Mathematik","Master","nein",0,"Ausl",1994,9241,"Wernberg","K"
"m",179,18,85,"Psychologie","Master","nein",0,"HAK",2004,9872,"Millstatt am See","K"
"m",170,20,65,"International Business and Economics","Bachelor","ja",24,"HBLA",2002,9863,"Rennweg","K"
"w",173,20,84,"Philosophie","Bachelor","nein",0,"Ausl",2002,9622,"Weißbriach","K"
"m",176,20,63,"Psychologie","Master","ja",28,"HTL",2002,9423,"St. Georgen","K"
"m",176,19,79,"Slawistik","Master","ja",22,"HAK",2003,9502,"Villach","K"
"m",174,21,72,"Wirtschaftsinformatik","Master","nein",0,"HTL",2001,9802,"Spittal an der Drau","K"
"w",160,20,60,"Wirtschaftsinformatik","Master","nein",0,"HAK",2002,9431,"St. Stefan","K"
"w",161,22,60,"Betriebswirtschaft","Master","nein",0,"AHS",2000,9423,"St. Georgen","K"
"w",171,19,114,"Angewandte Informatik","Bachelor","ja",16,"Sonst",2003,9633,"Reisach","K"
"m",163,24,75,"Robotics and Artificial Intelligence","Master","nein",0,"AHS",1998,9530,"Bad Bleiberg","K"
"m",183,19,82,"Technische Mathematik","Master","ja",10,"Ausl",2003,9376,"Knappenberg","K"
"w",159,21,59,"Technische Mathematik","Master","ja",44,"Ausl",2001,9150,"Bleiburg","K"
"w",168,19,60,"Medien- und Kommunikationswissenschaften","Bachelor","nein",0,"HAK",2003,9811,"Lendorf","K"
"m",174,18,76,"Wirtschaft und Recht","Bachelor","nein",0,"AHS",2004,9543,"Arriach","K"
"w",151,21,48,"Geographie","Master","nein",0,"Sonst",2001,9844,"Heiligenblut","K"
"w",165,24,57,"Betriebswirtschaft","Master","nein",0,"HBLA",1998,9816,"Penk","K"
"w",157,20,53,"Germanistik","Master","ja",22,"Sonst",2002,9065,"Ebenthal","K"
"w",171,19,60,"Germanistik","Master","ja",20,"HAK",2003,9360,"Friesach","K"
"m",167,19,81,"Informationstechnik","PhD","ja",22,"Sonst",2003,9805,"Baldramsdorf","K"
"m",160,25,53,"Medien- und Kommunikationswissenschaften","Master","ja",15,"Ausl",1997,9805,"Baldramsdorf","K"
"m",167,22,70,"Betriebswirtschaft","PhD","ja",24,"Ausl",2000,9781,"Oberdrauburg","K"
"m",169,20,70,"Slawistik","Master","ja",7,"AHS",2002,9611,"Nötsch","K"
"w",155,31,54,"Angewandte Kulturwissenschaft","Bachelor","nein",0,"Ausl",1991,9571,"Sirnitz","K"
"w",160,18,60,"Technische Mathematik","Bachelor","nein",0,"AHS",2004,9210,"Pörtschach am Wörther See","K"
"m",169,23,81,"Geographie","Master","ja",10,"AHS",1999,9545,"Radenthein","K"
"w",159,23,60,"Informationstechnik","Bachelor","nein",0,"Ausl",1999,9508,"Villach","K"
"m",177,19,67,"Erziehungs- und Bildungswissenschaft","Master","ja",7,"AHS",2003,9344,"Weitensfeld","K"
"m",165,21,60,"Philosophie","Bachelor","nein",0,"HAK",2001,9100,"Völkermarkt","K"
"w",168,21,60,"Robotics and Artificial Intelligence","Master","nein",0,"Ausl",2001,9811,"Lendorf","K"
"w",162,23,60,"Psychologie","Master","nein",0,"AHS",1999,9371,"Brückl","K"
"m",174,20,110,"Technische Mathematik","Master","ja",18,"HAK",2002,9701,"Rothenthurn","K"
"w",146,22,46,"Medien- und Kommunikationswissenschaften","Master","ja",2,"Ausl",2000,9135,"Bad Eisenkappel","K"
"w",160,19,57,"Romanistik","Master","ja",15,"AHS",2003,9210,"Pörtschach am Wörther See","K"
"w",158,19,55,"Anglistik und Amerikanistik","Master","ja",23,"AHS",2003,9135,"Bad Eisenkappel","K"
"m",181,19,71,"Anglistik und Amerikanistik","Master","nein",0,"HAK",2003,9508,"Villach","K"
"w",173,21,77,"Anglistik und Amerikanistik","Master","ja",12,"Ausl",2001,9113,"Ruden","K"
"w",172,23,63,"Slawistik","Bachelor","nein",0,"HAK",1999,9363,"Metnitz","K"
"w",153,20,54,"Angewandte Kulturwissenschaft","Bachelor","nein",0,"HAK",2002,9536,"St. Egyden","K"
"m",168,22,75,"Betriebswirtschaft","Master","ja",17,"HBLA",2000,9523,"Villach-Landskron","K"
"w",161,24,80,"Slawistik","PhD","ja",27,"Sonst",1998,9822,"Mallnitz","K"
"w",154,19,54,"Technische Mathematik","Master","nein",0,"HAK",2003,9523,"Villach-Landskron","K"
"m",161,22,59,"International Business and Economics","Master","nein",0,"AHS",2000,9375,"Hüttenberg","K"
"w",168,19,81,"Medien- und Kommunikationswissenschaften","Master","ja",5,"HBLA",2003,9072,"Ludmannsdorf","K"
"w",163,20,50,"Geschichte","Master","ja",31,"AHS",2002,9062,"Moosburg","K"
"w",167,20,77,"Robotics and Artificial Intelligence","Bachelor","ja",10,"Ausl",2002,9345,"Kleinglödnitz","K"
"w",152,20,52,"Psychologie","Master","ja",8,"Sonst",2002,9622,"Weißbriach","K"
"m",171,20,64,"Geschichte","PhD","nein",0,"HAK",2002,9832,"Stall","K"
"m",165,21,61,"Wirtschaft und Recht","Master","ja",29,"Ausl",2001,9324,"Passering","K"
"m",167,20,68,"Angewandte Informatik","Master","nein",0,"Ausl",2002,9762,"Weißensee","K"
"m",176,20,81,"International Business and Economics","Master","ja",13,"HAK",2002,9702,"Ferndorf","K"
"w",155,19,56,"Slawistik","Master","nein",0,"HAK",2003,9371,"Brückl","K"
"w",154,19,53,"Technische Mathematik","PhD","ja",18,"Ausl",2003,9341,"Straßburg","K"
"w",152,22,55,"Betriebswirtschaft","Master","nein",0,"HBLA",2000,9322,"Micheldorf","K"
"w",151,21,51,"Informationstechnik","Master","ja",16,"AHS",2001,9324,"Passering","K"
"w",155,18,53,"International Business and Economics","PhD","nein",0,"HAK",2004,9612,"St. Georgen im Gailtal","K"
"w",176,27,71,"Psychologie","Master","ja",15,"HBLA",1995,9461,"Prebl","K"
"m",169,20,86,"Germanistik","Bachelor","ja",11,"HAK",2002,9536,"St. Egyden","K"
"m",165,21,59,"Erziehungs- und Bildungswissenschaft","PhD","ja",22,"AHS",2001,9615,"Görtschach","K"
"w",151,21,51,"Germanistik","Bachelor","nein",0,"HTL",2001,9112,"Griffen","K"
"w",161,22,99,"Wirtschaftsinformatik","Bachelor","nein",0,"AHS",2000,9183,"Rosenbach","K"
"m",171,21,47,"Slawistik","Master","nein",0,"Sonst",2001,9023,"Klagenfurt am Wörthersee","K"
"w",164,23,60,"Erziehungs- und Bildungswissenschaft","Master","ja",23,"Ausl",1999,9171,"Waidisch","K"
"m",172,20,59,"Slawistik","Master","nein",0,"Sonst",2002,9851,"Lieserbrücke","K"
"m",181,20,70,"Angewandte Kulturwissenschaft","Bachelor","nein",0,"Sonst",2002,9100,"Völkermarkt","K"
"w",168,22,55,"Geschichte","Master","ja",5,"HTL",2000,9503,"Villach","K"
"w",170,22,63,"Geschichte","Master","ja",9,"HAK",2000,9104,"Pustritz","K"
"w",164,23,75,"Robotics and Artificial Intelligence","Master","ja",8,"HBLA",1999,9073,"Klagenfurt-Viktring","K"
"m",183,22,90,"International Business and Economics","Bachelor","nein",0,"AHS",2000,9613,"Feistritz an der Gail","K"
"w",161,18,60,"Medien- und Kommunikationswissenschaften","Master","nein",0,"AHS",2004,9372,"Eberstein","K"
"w",169,19,60,"Medien- und Kommunikationswissenschaften","Master","ja",7,"HAK",2003,9560,"Feldkirchen in Kärnten","K"
"m",173,20,81,"Romanistik","Master","nein",0,"Sonst",2002,9020,"Klagenfurt am Wörthersee","K"
"m",169,24,74,"Technische Mathematik","PhD","ja",13,"Ausl",1998,9633,"Reisach","K"
"w",152,21,52,"Germanistik","Master","ja",3,"Ausl",2001,9623,"St. Stefan an der Gail","K"
"m",168,20,54,"Angewandte Informatik","Master","nein",0,"AHS",2002,9121,"Tainach","K"
"m",168,21,57,"Romanistik","Master","ja",21,"Ausl",2001,9631,"Jenig","K"
"m",179,25,70,"Anglistik und Amerikanistik","Master","nein",0,"AHS",1997,9113,"Ruden","K"
"w",162,23,69,"Medien- und Kommunikationswissenschaften","PhD","ja",27,"Ausl",1999,9412,"St. Margarethen im Lavanttal","K"
"w",157,19,57,"Informationstechnik","Master","ja",26,"AHS",2003,9103,"Diex","K"
"w",155,23,57,"Geschichte","Bachelor","nein",0,"HAK",1999,9141,"Eberndorf","K"
"m",186,29,86,"Anglistik und Amerikanistik","Master","ja",16,"Ausl",1993,9771,"Berg im Drautal","K"
"w",160,19,60,"Informationstechnik","Bachelor","ja",6,"HAK",2003,9813,"Möllbrücke","K"
"w",152,21,50,"Technische Mathematik","Master","nein",0,"Ausl",2001,9334,"Guttaring","K"
"m",171,19,75,"Robotics and Artificial Intelligence","Master","nein",0,"AHS",2003,9854,"Malta","K"
"w",163,23,48,"Geographie","PhD","ja",11,"AHS",1999,9074,"Keutschach","K"
"w",169,18,95,"International Business and Economics","Master","nein",0,"AHS",2004,9026,"Klagenfurt am Wörthersee","K"
"w",161,18,90,"International Business and Economics","Bachelor","ja",22,"Ausl",2004,9071,"Köttmannsdorf","K"
"w",163,21,51,"Geschichte","Master","nein",0,"HAK",2001,9535,"Schiefling am Wörthersee","K"
"w",154,24,55,"Geographie","PhD","ja",18,"HAK",1998,9073,"Klagenfurt-Viktring","K"
"w",168,19,66,"Wirtschaftsinformatik","Bachelor","nein",0,"AHS",2003,9832,"Stall","K"
"m",175,24,73,"Angewandte Kulturwissenschaft","PhD","nein",0,"Ausl",1998,9862,"Kremsbrücke","K"
"w",168,22,58,"Wirtschaftsinformatik","Master","nein",0,"AHS",2000,9712,"Fresach","K"
"m",186,21,92,"Erziehungs- und Bildungswissenschaft","Bachelor","nein",0,"AHS",2001,9560,"Feldkirchen in Kärnten","K"
"m",175,19,74,"Romanistik","Master","ja",12,"AHS",2003,9010,"Klagenfurt am Wörthersee","K"
"m",172,20,75,"Romanistik","Master","nein",0,"AHS",2002,9551,"Bodensdorf","K"
"m",168,21,49,"International Business and Economics","Master","ja",14,"AHS",2001,9130,"Poggersdorf","K"
"w",157,18,52,"Medien- und Kommunikationswissenschaften","Master","ja",8,"Sonst",2004,9025,"Klagenfurt am Wörthersee","K"
"m",167,19,75,"International Business and Economics","Master","nein",0,"Ausl",2003,9023,"Klagenfurt am Wörthersee","K"
"w",165,22,75,"Betriebswirtschaft","PhD","ja",3,"AHS",2000,9172,"Zell-Pfarre","K"
"m",162,20,60,"Romanistik","Bachelor","ja",17,"HTL",2002,9022,"Klagenfurt am Wörthersee","K"
"m",160,20,59,"Erziehungs- und Bildungswissenschaft","Bachelor","ja",13,"HTL",2002,9020,"Klagenfurt am Wörthersee","K"
"m",169,22,77,"Germanistik","Master","ja",7,"AHS",2000,9170,"Ferlach","K"
"m",183,21,96,"Geographie","Master","nein",0,"HAK",2001,9102,"Mittertrixen","K"
"w",163,21,70,"Technische Mathematik","Master","ja",18,"Ausl",2001,9633,"Reisach","K"
"w",158,20,57,"Betriebswirtschaft","PhD","ja",20,"AHS",2002,9161,"Maria Rain","K"
"m",179,19,88,"Wirtschaft und Recht","PhD","nein",0,"HAK",2003,9461,"Prebl","K"
"m",171,20,73,"Psychologie","Bachelor","nein",0,"Sonst",2002,9562,"Himmelberg","K"
"w",161,22,68,"Angewandte Informatik","Master","nein",0,"HAK",2000,9510,"Villach","K"
"m",175,30,65,"Medien- und Kommunikationswissenschaften","Master","nein",0,"HAK",1992,9376,"Knappenberg","K"
"m",183,20,72,"Wirtschaft und Recht","Bachelor","ja",6,"HTL",2002,9842,"Mörtschach","K"
"w",172,23,63,"Slawistik","Bachelor","ja",15,"HAK",1999,9761,"Greifenburg","K"
"m",184,21,86,"Angewandte Kulturwissenschaft","Master","nein",0,"Sonst",2001,9521,"Treffen","K"
"m",182,20,80,"Geschichte","Master","ja",17,"Ausl",2002,9805,"Baldramsdorf","K"
"m",177,21,77,"Technische Mathematik","Master","nein",0,"Ausl",2001,9546,"Bad Kleinkirchheim","K"
"w",177,20,83,"Erziehungs- und Bildungswissenschaft","Bachelor","ja",13,"AHS",2002,9841,"Winklern","K"
"w",178,21,63,"Angewandte Kulturwissenschaft","Master","nein",0,"HBLA",2001,9623,"St. Stefan an der Gail","K"
"w",173,25,72,"Wirtschaftsinformatik","PhD","nein",0,"HBLA",1997,9761,"Greifenburg","K"
"m",172,20,61,"Germanistik","Bachelor","ja",9,"Ausl",2002,9555,"Glanegg","K"
"m",166,19,56,"Betriebswirtschaft","Master","ja",5,"AHS",2003,9321,"Kappel am Krappfeld","K"
"m",176,21,68,"Slawistik","Master","ja",11,"AHS",2001,9123,"St. Primus","K"
"m",170,18,43,"Medien- und Kommunikationswissenschaften","Bachelor","nein",0,"Sonst",2004,9564,"Patergassen","K"
"m",176,22,88,"Geschichte","Master","nein",0,"Ausl",2000,9029,"Klagenfurt am Wörthersee","K"
"m",170,21,56,"Robotics and Artificial Intelligence","Master","nein",0,"AHS",2001,9585,"Gödersdorf","K"
